title,artists
Fast Car,Luke Combs
Last Night,Morgan Wallen
Need A Favor,Jelly Roll
Take Two,BTS
Save Me (with Lainey Wilson),Jelly Roll
Flowers,Miley Cyrus
Bust a Move,Young MC
"Angel Pt. 2 (feat. JVKE, Charlie Puth & Muni Long)",Jimin & Fast & Furious: The Fast Saga
Calm Down,Rema & Selena Gomez
"81 Million Votes, My Ass",The Truth Bombers & Kari Lake
Thinkin’ Bout Me,Morgan Wallen
Thank God I Do,Lauren Daigle
Funky Cold Medina,Tone-Loc
Son Of A Sinner,Jelly Roll
All My Life (feat. J. Cole),Lil Durk
Dance The Night,Dua Lipa
Wild Thing,Tone-Loc
Stand By Me (feat. Morgan Wallen),Lil Durk
Attention,Doja Cat
Cruel Summer,Taylor Swift
Area Codes,Kali
Don't Say Love,Leigh-Anne
Fast Car,Tracy Chapman
Favorite Song,Toosii
TRUSTFALL,P!nk
Love You Anyway,Luke Combs
Thank God,Kane Brown & Katelyn Brown
Thought You Should Know,Morgan Wallen
Next Thing You Know,Jordan Davis
Religiously,Bailey Zimmerman
Karma,Taylor Swift
Anti-Hero,Taylor Swift
Eyes Closed,Ed Sheeran
Heart Like A Truck,Lainey Wilson
Hold My Hand,Lady Gaga
Mourning,Post Malone
Watermelon Moonshine,Lainey Wilson
O.P.P. (Re-recorded Version),Naughty By Nature
Thicc As Thieves,Lauren Alaina & Lainey Wilson
Makeba,Jain
Something in the Orange (Z&E's Version),Zach Bryan
Dancin’ In The Country,Tyler Hubbard
Can She Have This Dance,Drew Baldridge
Son,Mitch Rossell
Put It On Da Floor Again (feat. Cardi B),Latto
One Thing At A Time,Morgan Wallen
Wasted On You,Morgan Wallen
Bury Me in Georgia (Single Edit),Kane Brown
Tennessee Orange,Megan Moroney
Unstoppable,Sia
Heaven,Niall Horan
wait in the truck,HARDY & Lainey Wilson
Waffle House,Jonas Brothers
Tennessee Whiskey,Chris Stapleton
Sure Thing,Miguel
Daylight,David Kushner
SCIENTISTS & ENGINEERS (feat. Future & Eryn Allen Kane),Killer Mike & André 3000
Cupid (Twin Ver.),FIFTY FIFTY
Chemical,Post Malone
BOUNCY (K-HOT CHILLI PEPPERS),ATEEZ
MMMBop 2.0,Busted & Hanson
We Don't Fight Anymore (feat. Chris Stapleton),Carly Pearce
Peaches,Jack Black
Ella Baila Sola,Eslabon Armado & Peso Pluma
Save Me,Jelly Roll
Oklahoma Smokeshow,Zach Bryan
TRUCK BED,HARDY
Rock and A Hard Place,Bailey Zimmerman
It Matters To Her,Scotty McCreery
Halfway To Hell,Jelly Roll
You Proof,Morgan Wallen
Hip Hop Hooray (Re-recorded Version),Naughty By Nature
Try That In A Small Town,Jason Aldean
Deep in the Willow,Knocked Loose
I Ain't Worried,OneRepublic
Praise You Anywhere,Brandon Lake
Karma (feat. Ice Spice),Taylor Swift
See You Next Summer,Brian Kelley
Snooze,SZA
One Margarita (Margarita Song),"That Chick Angel, Casa Di & Steve Terrell"
Kill Bill,SZA
Count on Me,Bruno Mars
Am I Dreaming,"Metro Boomin, A$AP Rocky & Roisee"
Jaded,Miley Cyrus
HAPPY,NF
You Need To Calm Down,Taylor Swift
How Do I Say Goodbye,Dean Lewis
WHERE SHE GOES,Bad Bunny
If You Were Mine,Miranda Lambert & Leon Bridges
Drinkaby,Cole Swindell
But I Got A Beer In My Hand,Luke Bryan
Baby Don't Hurt Me,"David Guetta, Anne-Marie & Coi Leray"
Always Remember Us This Way,Lady Gaga
She Had Me At Heads Carolina,Cole Swindell
Little Girl Gone,CHINCHILLA
Memory Lane,Old Dominion
A Little Bit Happy,TALK
Perfect,Ed Sheeran
Whiskey Glasses,Morgan Wallen
Beat You There,Will Dempsey
Drei Andere,Eine kleine Ewigkeit • Blau ist der Himmel über der Spree
folk song,Bolle reiste jüngst zu Pfingsten
Paul Lincke,Berliner Luft (1904) • Nach der Liebesinsel laß uns gehn • Das ist der Zauber von Berlin
Otto Reutter,Berlin is ja so groß (about 1913)
Walter Kollo,"Untern Linden, untern Linden • Das war in Schöneberg im Monat Mai • Die kleine Bank am Großen Stern • So lang noch untern Linden"
Titto Manowitz,Im Grunewald ist Holzauktion
Oskar Klein,In Rixdorf ist Musike (Musik: Eugen Phillipi)
Berliner Volksmund,"Denkste denn, du Berliner Pflanze (Musik: Marsch aus Petersburg about 1820)"
Claire Waldoff,an de Spree • Die Großstadtpflanze • Emilie vom Kurfürstendamm • Es gibt nur ein Berlin • Im Nußbaum links vom Molkenmarkt • In Tegel gibts lockere Vögel • Wat braucht der Berliner um glücklich zu sein • Werderlied
Marlene Dietrich,Berlin Berlin • Das ist Berlin • Das war in Schöneberg • Du hast ja keine Ahnung wie schön du bist Berlin • Ich hab noch einen Koffer in Berlin • Durch Berlin fließt immer noch die Spree • Nach meine Beene ist ganz Berlin verrückt • Unter'n Linden • Sonntags angeln gehn
Frank Sinatra,There'll Be a Hot Time in the Town of Berlin
Bing Crosby & The Andrews Sisters,Hot Time in the Town of Berlin
Ozzie Waters,A Rodeo Down in Tokyo and a Round Up in Old Berlin
Jack Little,I've Always Wanted to Dance in Berlin
Kurt Weill — Berlin im Licht,Kurt Weill — Berlin im Licht
Conny Froboess,Pack die Badehose ein (1951)
The Hush,Dancing in East Berlin
Gina Presgott,"Pack die Badehose ein (1952, DDR- satiric version)"
Gerhard Wendland,Heimweh nach dir (1952)
Fred Oldörp (Die 3 Travellers),Kleiner Bär von Berlin (1952)
Schöneberger Sängerknaben,"Berliner Jungens, die sind richtig • Grüße aus Berlin • Jetzt ist der Himmel blau in Berlin • Parole: Treffpunkt Zoo • Uns're Stadt hört doch nicht am Brandenburger Tor auf"
Hildegard Knef,"Berlin, dein Gesicht hat Sommersprossen • Das ist Berlin • Heimweh nach dem Kurfürstendamm • Ich hab noch einen Koffer in Berlin"
Ernst Busch,Roter Wedding
Édith Piaf,L'homme de Berlin (1963)[4]
Günter Pfitzmann,An die Berlinerin (1964)
Gerd Natschinski,"Zeig mir mal Berlin, aus dem „Musikalischen Lustspiel"" Servus Peter (1966)"
Spencer Davis Group,Det war in Schöneberg (1967)
Bob Telden,Berlin erwacht (1969)[5]
Medium-Terzett,Spree-Walzer
Thomas Natschinski und Gruppe,Mokka-Milch-Eisbar
Rio Reiser,Sonnenallee
Ton Steine Scherben,"Rauch-Haus-Song (1972), Mensch Meier"
Lou Reed,Berlin (1973)[6]
Wizz Jones,When I leave Berlin (1973)
PVC,Berlin by Night (1977)
Iggy Pop,Lust For Life (1977)[7]
Iggy Pop,The Passenger (1977)
Karussell,Kleine Freundin aus Schönefeld (1977)
Lone Star,Bells of Berlin (1977)
Sex Pistols - Holidays in the Sun (1977),Sex Pistols - Holidays in the Sun (1977)
