Title,Artist,Cluster
You're The One - Un mal pour un bien,Petula Clark,0
Doctor My Eyes,Jackson Browne,4
Falling in Love at a Coffee Shop,Landon Pigg,4
Peaceful Easy Feeling - 2013 Remaster,Eagles,4
Summertime Blues,Eddie Cochran,0
Running on Empty,Jackson Browne,1
"Come On, Let's Go",Ritchie Valens,0
Ain't That A Shame,Fats Domino,0
Johnny B. Goode,Chuck Berry,0
Great Balls Of Fire - 1964 Version,Jerry Lee Lewis,0
Come Go With Me,The Del-Vikings,0
All I Have to Do Is Dream,The Everly Brothers,0
Oh Boy!,Buddy Holly,0
Lyin' Eyes - 2013 Remaster,Eagles,3
Long Tall Sally,Little Richard,0
Runaround Sue,Dion,0
A Teenager In Love,Dion & The Belmonts,0
No Particular Place To Go,Chuck Berry,0
Whole Lot of Shakin' Going On,Jerry Lee Lewis,0
Heartbeat,Buddy Holly,0
C’Mon Everybody,Eddie Cochran,0
La Bamba - Single Version,Ritchie Valens,0
Tutti Frutti,Little Richard,0
Roll Over Beethoven,Chuck Berry,0
Bye Bye Love,The Everly Brothers,0
Hound Dog,Elvis Presley,0
The Wanderer,Dion,0
The Great Pretender,The Platters,0
I Wonder Why,Dion & The Belmonts,0
Chantilly Lace,The Big Bopper,0
Good Golly Miss Molly,Little Richard,0
Wake up Little Susie,The Everly Brothers,0
The Book of Love,The Monotones,0
"Shake, Rattle And Roll - Single Version",Bill Haley & His Comets,0
Jailhouse Rock,Elvis Presley,0
Donna - Single Version,Ritchie Valens,0
Blueberry Hill,Fats Domino,0
At the Hop,Angelo Grey Band,0
Yakety Yak - 2007 Remaster,The Coasters,0
Blue Moon,The Marcels,0
Take Good Care Of My Baby,Bobby Vee,0
Lucille,Little Richard,0
Little Darlin',The Diamonds,0
Love Potion No. 9 - Remastered / Single Version,The Clovers,0
Don't Be Cruel,Elvis Presley,0
Only You (And You Alone),The Platters,0
Splish Splash,Bobby Darin,0
The Twist,Chubby Checker,0
Lollipop,The Chordettes,0
Rockin' Robin,Bobby Day,0
School Day (Ring Ring Goes The Bell),Chuck Berry,0
All Shook Up,Elvis Presley,0
Under the Boardwalk,The Drifters,0
"See You Later, Alligator",Bill Haley & His Comets,0
Let's Twist Again,Chubby Checker,0
In The Still of the Night,The Five Satins,0
Smoke Gets In Your Eyes,The Platters,0
Do You Wanna Dance,Bobby Freeman,0
"Shout, Pts. 1 & 2",The Isley Brothers,1
You're Sixteen,Johnny Burnette,0
Get a Job,The Silhouettes,0
