Title,Artist,Cluster
You're The One - Un mal pour un bien,Petula Clark,1
Doctor My Eyes,Jackson Browne,4
Falling in Love at a Coffee Shop,Landon Pigg,3
Peaceful Easy Feeling - 2013 Remaster,Eagles,4
Summertime Blues,Eddie Cochran,0
Running on Empty,Jackson Browne,1
"Come On, Let's Go",Ritchie Valens,4
Ain't That A Shame,Fats Domino,3
Johnny B. Goode,Chuck Berry,4
Great Balls Of Fire - 1964 Version,Jerry Lee Lewis,4
Come Go With Me,The Del-Vikings,0
All I Have to Do Is Dream,The Everly Brothers,3
Oh Boy!,Buddy Holly,4
Lyin' Eyes - 2013 Remaster,Eagles,4
Long Tall Sally,Little Richard,4
Runaround Sue,Dion,3
A Teenager In Love,Dion & The Belmonts,3
No Particular Place To Go,Chuck Berry,4
Whole Lot of Shakin' Going On,Jerry Lee Lewis,3
Heartbeat,Buddy Holly,3
C’Mon Everybody,Eddie Cochran,4
La Bamba - Single Version,Ritchie Valens,4
Tutti Frutti,Little Richard,0
Roll Over Beethoven,Chuck Berry,4
Bye Bye Love,The Everly Brothers,4
Hound Dog,Elvis Presley,1
The Wanderer,Dion,4
The Great Pretender,The Platters,3
I Wonder Why,Dion & The Belmonts,4
Chantilly Lace,The Big Bopper,4
Good Golly Miss Molly,Little Richard,4
Wake up Little Susie,The Everly Brothers,4
The Book of Love,The Monotones,1
"Shake, Rattle And Roll - Single Version",Bill Haley & His Comets,4
Jailhouse Rock,Elvis Presley,0
Donna - Single Version,Ritchie Valens,3
Blueberry Hill,Fats Domino,3
At the Hop,Angelo Grey Band,4
Yakety Yak - 2007 Remaster,The Coasters,4
Blue Moon,The Marcels,3
Take Good Care Of My Baby,Bobby Vee,3
Lucille,Little Richard,0
Little Darlin',The Diamonds,4
Love Potion No. 9 - Remastered / Single Version,The Clovers,4
Don't Be Cruel,Elvis Presley,3
Only You (And You Alone),The Platters,3
Splish Splash,Bobby Darin,4
The Twist,Chubby Checker,4
Lollipop,The Chordettes,0
Rockin' Robin,Bobby Day,4
School Day (Ring Ring Goes The Bell),Chuck Berry,4
All Shook Up,Elvis Presley,3
Under the Boardwalk,The Drifters,3
"See You Later, Alligator",Bill Haley & His Comets,4
Let's Twist Again,Chubby Checker,4
In The Still of the Night,The Five Satins,3
Smoke Gets In Your Eyes,The Platters,3
Do You Wanna Dance,Bobby Freeman,4
"Shout, Pts. 1 & 2",The Isley Brothers,1
You're Sixteen,Johnny Burnette,3
Get a Job,The Silhouettes,3
16 Candles,Johnny Maestro,3
16 Candles,The Crests,3
Please Mr. Postman - Single Version / Mono,The Marvelettes,4
Stay,Maurice Williams,0
Stay,The Zodiacs,0
Sherry,Frankie Valli & The Four Seasons,4
Be My Baby,The Ronettes,4
I Only Have Eyes for You,The Flamingos,3
We Belong Together,Ritchie Valens,3
Since I Don't Have You,The Skyliners,3
I'm Walkin',Fats Domino,4
Let's Have A Party,Wanda Jackson,4
The Locomotion,Little Eva,4
Party Doll,Buddy Knox,0
Big Girls Don't Cry,Frankie Valli & The Four Seasons,4
Save the Last Dance for Me,The Drifters,4
True Love Ways,Buddy Holly,3
Lonely Teardrops,Jackie Wilson,1
Rama Lama Ding Dong (Original version 1958),The Edsels,4
Heart and Soul,The Cleftones,1
Duke of Earl,Gene Chandler,3
Little Star,The Elegants,3
Come Softly To Me,The Fleetwoods,3
There's A Moon Out Tonight,The Capris,3
This Magic Moment,The Drifters,4
It's My Party,Lesley Gore,4
Speedoo,The Cadillacs,4
Speedoo,Navarro,4
Twilight Time - Single Version,The Platters,3
Sincerely,The Moonglows,3
Sweet Nothin's,Brenda Lee,4
You Send Me - Remastered,Sam Cooke,3
Whispering Bells,The Del-Vikings,1
Whispering Bells,Krips Johnson,1
Then He Kissed Me,The Crystals,4
I Get a Thrill - 2006 Remaster,The Honeydrippers,0
Sea of Love - 2006 Remaster,The Honeydrippers,3
I Got a Woman - 2006 Remaster,The Honeydrippers,4
